headline,summary,video_link
Python Tutorial: Zip Files – Creating and Extracting Zip Archives,"<div class=""entry-content"" itemprop=""text"">
<p>In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let’s get started…<br/></p>
<span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/z0gguhEmWiY?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span>
</div>",https://youtube.com/watch?v=z0gguhEmWiY
Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,"<div class=""entry-content"" itemprop=""text"">
<p>In this Python Programming video, we will be learning how to download and analyze real-world data from the 2019 Stack Overflow Developer Survey. This is terrific practice for anyone getting into the data science field. We will learn different ways to analyze this data and also some best practices. Let’s get started…</p>
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
<span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/_P7X8tMplsw?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span>
</div></figure>
</div>",https://youtube.com/watch?v=_P7X8tMplsw
Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,"<div class=""entry-content"" itemprop=""text"">
<p>In this Python Programming video, we will be learning how to run code in parallel using the multiprocessing module. We will also look at how to process multiple high-resolution images at the same time using a ProcessPoolExecutor from the concurrent.futures module. Let’s get started…</p>
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
<span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/fKl2JW_qrso?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span>
</div></figure>
</div>",https://youtube.com/watch?v=fKl2JW_qrso
Python Threading Tutorial: Run Code Concurrently Using the Threading Module,"<div class=""entry-content"" itemprop=""text"">
<p>In this Python Programming video, we will be learning how to run threads concurrently using the threading module. We will also look at how to download multiple high-resolution images online using a ThreadPoolExecutor from the concurrent.futures module. Let’s get started…</p>
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
<span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/IEEhzQoKtQU?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span>
</div></figure>
</div>",https://youtube.com/watch?v=IEEhzQoKtQU
Update (2019-09-03),"<div class=""entry-content"" itemprop=""text"">
<p>Hey everyone. I wanted to give you an update on my videos. I will be releasing videos on threading and multiprocessing within the next week. Thanks so much for your patience. I currently have a temporary recording studio setup at my Airbnb that will allow me to record and edit the threading/multiprocessing videos. I am going to be moving into my new house in 10 days and once I have my recording studio setup then you can expect much faster video releases. I really appreciate how patient everyone has been while I go through this move, especially those of you who are contributing monthly through YouTube </p>
</div>",
Python Quick Tip: The Difference Between “==” and “is” (Equality vs Identity),"<div class=""entry-content"" itemprop=""text"">
<p>In this Python Programming Tutorial, we will be learning the difference between using “==” and the “is” keyword when doing comparisons. The difference between these is that “==” checks to see if values are equal, and the “is” keyword checks their identity, which means it’s going to check if the values are identical in terms of being the same object in memory. We’ll learn more in the video. Let’s get started…</p>
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
<span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/mO_dS3rXDIs?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span>
</div></figure>
</div>",https://youtube.com/watch?v=mO_dS3rXDIs
Python Tutorial: Calling External Commands Using the Subprocess Module,"<div class=""entry-content"" itemprop=""text"">
<p>In this Python Programming Tutorial, we will be learning how to run external commands using the subprocess module from the standard library. We will learn how to run commands, capture the output, handle errors, and also how to pipe output into other commands. Let’s get started…</p>
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
<span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/2Fp1N6dof0Y?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span>
</div></figure>
</div>",https://youtube.com/watch?v=2Fp1N6dof0Y
Visual Studio Code (Windows) – Setting up a Python Development Environment and Complete Overview,"<div class=""entry-content"" itemprop=""text"">
<p>In this Python Programming Tutorial, we will be learning how to set up a Python development environment in VSCode on Windows. VSCode is a very nice free editor for writing Python applications and many developers are now switching over to this editor. In this video, we will learn how to install VSCode, get the Python extension installed, how to change Python interpreters, create virtual environments, format/lint our code, how to use Git within VSCode, how to debug our programs, how unit testing works, and more. We have a lot to cover, so let’s go ahead and get started…</p>
<p>VSCode on MacOS – https://youtu.be/06I63_p-2A4</p>
<p>Timestamps for topics in this tutorial:<br/> Installation – 1:13<br/> Python Extension – 5:48<br/> Switching Interpreters – 10:04<br/> Changing Color Themes – 12:35<br/> VSCode Settings – 16:16<br/> Set Default Python – 21:33<br/> Using Virtual Environments – 25:10<br/> IntelliSense – 29:45<br/> Code Formatting – 32:13<br/> Code Linting – 37:06<br/> Code Runner Extension – 39:42<br/> Git Integration – 47:44<br/> Use Different Terminal – 51:07<br/> Debugging – 58:45<br/> Unit Testing – 1:03:25<br/> Zen Mode – 1:09:55</p>
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
<span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/-nh9rCzPJ20?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span>
</div></figure>
</div>",https://youtube.com/watch?v=-nh9rCzPJ20
Visual Studio Code (Mac) – Setting up a Python Development Environment and Complete Overview,"<div class=""entry-content"" itemprop=""text"">
<p>In this Python Programming Tutorial, we will be learning how to set up a Python development environment in VSCode on MacOS. VSCode is a very nice free editor for writing Python applications and many developers are now switching over to this editor. In this video, we will learn how to install VSCode, get the Python extension installed, how to change Python interpreters, create virtual environments, format/lint our code, how to use Git within VSCode, how to debug our programs, how unit testing works, and more. We have a lot to cover, so let’s go ahead and get started…</p>
<p>VSCode on Windows – https://youtu.be/-nh9rCzPJ20</p>
<p>Timestamps for topics in this tutorial:<br/> Installation – 1:11<br/> Python Extension – 6:21<br/> Switching Interpreters – 10:16<br/> Changing Color Themes – 13:08<br/> VSCode Settings – 17:12<br/> Set Default Python – 22:24<br/> Using Virtual Environments – 25:52<br/> IntelliSense – 30:28<br/> Code Formatting – 33:08<br/> Code Linting – 38:01<br/> Code Runner Extension – 40:45<br/> Git Integration – 49:05<br/> Debugging – 58:15<br/> Unit Testing – 1:02:38<br/> Zen Mode – 1:10:42 </p>
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
<span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/06I63_p-2A4?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span>
</div></figure>
</div>",https://youtube.com/watch?v=06I63_p-2A4
Clarifying the Issues with Mutable Default Arguments,"<div class=""entry-content"" itemprop=""text"">
<p>In this Python Programming Tutorial, we will be clarifying the issues with mutable default arguments. We discussed this in my last video titled “5 Common Python Mistakes and How to Fix Them”, but I received many comments from people who were still confused. So we will be doing a deeper dive to explain exactly what is going on here. Let’s get started…</p>
<figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
<span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/_JGmemuINww?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span>
</div></figure>
</div>",https://youtube.com/watch?v=_JGmemuINww
